2025-12-18 08:45:59 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:45:59 | INFO     | DF | Running on device cpu
2025-12-18 08:45:59 | INFO     | DF | Model loaded
2025-12-18 08:46:00 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:46:00 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:46:00 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:46:00 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:46:00 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:46:00 | INFO     | DF | Running on device cpu
2025-12-18 08:46:00 | INFO     | DF | Model loaded
2025-12-18 08:46:06 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:46:06 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:46:06 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:46:06 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:46:06 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:46:06 | INFO     | DF | Running on device cpu
2025-12-18 08:46:06 | INFO     | DF | Model loaded
2025-12-18 08:46:32 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:46:32 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:46:32 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:46:32 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:46:32 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:46:32 | INFO     | DF | Running on device cpu
2025-12-18 08:46:32 | INFO     | DF | Model loaded
2025-12-18 08:46:51 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:46:51 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:46:51 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:46:51 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:46:51 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:46:51 | INFO     | DF | Running on device cpu
2025-12-18 08:46:51 | INFO     | DF | Model loaded
2025-12-18 08:48:08 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:48:08 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:48:08 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:48:08 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:48:08 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:48:08 | INFO     | DF | Running on device cpu
2025-12-18 08:48:08 | INFO     | DF | Model loaded
2025-12-18 08:48:15 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:48:15 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
